Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
0.442338809,-0.208746744,-0.529929921,0.181658737,0.312583848,-0.272181737,-1.036597114,0.11718748,0.418865256,-0.459699037,-0.381682442,0.392972283,0.019586951,-0.537011338,-0.51829909,0.19347464,-0.48882885,-1.146363519,-1.007188658,-0.328587208,834.8717949,850.5860806,841.7216117,843.3333333,833.2600733
0.580004662,-0.217276354,-0.642432383,0.00721722,0.287602285,-0.312440267,-1.052643123,-0.00218529,0.406059853,-0.557395615,-0.375657924,0.391186747,0.044539214,-0.614416057,-0.585263428,0.179134329,-0.506306217,-1.054907035,-0.998387185,-0.377357777,824.3956044,844.9450549,842.1245421,826.4102564,799.4139194
0.621240939,-0.46782294,-0.571994404,0.187537459,0.251104244,-0.544234601,-0.671322016,0.045687729,0.283623131,-0.580709358,-0.229664176,0.30453109,0.034012665,-0.664343218,-0.610445775,0.119389383,-0.564441035,-1.049853782,-0.967915983,-0.429592645,823.992674,844.5421245,839.7069597,827.6190476,862.6739927
0.827471912,-0.555661772,-0.446115597,0.361414624,0.315518971,-0.676794231,-0.61568121,0.094875002,0.334992964,-0.594183821,-0.200554079,0.317162685,0.029604691,-0.696097143,-0.591489268,0.094477234,-0.656140522,-1.017406196,-0.945931397,-0.49504781,828.8278388,843.3333333,848.1684982,832.8571429,826.007326
0.891440333,-0.566883615,-0.33038167,0.384513679,0.362779934,-0.844506528,-0.562298017,0.20757943,0.310280173,-0.639231603,-0.355131736,0.276146775,-0.033835982,-0.628855124,-0.499239751,0.028847962,-0.644807728,-0.990484227,-0.887796494,-0.427290923,829.6336996,844.9450549,844.9450549,832.8571429,845.7509158
0.777963589,-0.403781115,-0.334650861,0.278936905,0.212280354,-0.829628183,-0.607688113,0.151017996,0.322523401,-0.575466481,-0.475001987,0.213731153,-0.053573665,-0.573172355,-0.456832215,0.00760463,-0.584162018,-1.070695171,-0.891829029,-0.365769963,844.5421245,850.989011,844.9450549,841.7216117,849.7802198
0.598921921,-0.334153512,-0.411964111,0.154142476,0.185964714,-0.536205967,-0.52697065,0.043184555,0.315713772,-0.516390003,-0.30986232,0.103431322,-0.026694331,-0.559185197,-0.430721706,0.035199978,-0.467780073,-1.08639174,-0.843305455,-0.370832599,830.8424908,845.7509158,849.3772894,834.0659341,842.1245421
0.293050692,-0.341539023,-0.611643509,0.234016534,0.093201887,-0.259630849,-0.526486424,-0.033087789,0.28717663,-0.408215341,-0.325700175,0.244242615,0.007731347,-0.650497191,-0.428746021,0.135592679,-0.415016392,-1.180965665,-0.891026104,-0.314064295,824.3956044,843.7362637,844.5421245,841.7216117,834.0659341
0.310379827,-0.435991153,-0.748172194,0.297892693,0.163610494,-0.21335067,-0.639706116,0.025899694,0.446226687,-0.452074304,-0.301491024,0.435305862,0.046902439,-0.662340474,-0.460161233,0.197701234,-0.394977057,-1.120309733,-0.866306647,-0.319057677,833.6630037,842.5274725,844.5421245,829.2307692,841.7216117
0.444959928,-0.541379848,-0.443282434,0.354982897,0.217437023,-0.319006807,-0.725354733,0.226722296,0.507696224,-0.481694198,-0.323952436,0.44176104,0.057104496,-0.603661256,-0.525087521,0.18837988,-0.440833698,-0.992800445,-0.917351817,-0.264900818,839.7069597,846.959707,844.5421245,835.2747253,866.3003663
