Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z
0.268913932,-0.635042177,-0.421087656,0.126794545,-0.044360283,-0.445796076,-0.461869923,0.181530256,0.103747543,-0.511990546,-0.573634389,0.21204416,0.01123895,-0.598115847,-0.601922504,0.034471108,-0.617240303,-1.010338265,-1.087623219,-0.342201939,844.9450549,843.7362637,844.9450549,832.8571429,828.021978,-0.171753,0.128906,0.960876,-1.704712,2.83371,3.813171
0.190020232,-0.536448873,-0.512720428,0.013667937,-0.289921431,-0.786908964,-0.542485188,0.026913512,0.393867861,-0.545182889,-0.571360573,0.382120149,0.061460509,-0.61945775,-0.613248447,0.112950162,-0.610389249,-0.991648759,-1.052085459,-0.330333704,836.0805861,845.7509158,846.5567766,839.3040293,850.5860806,-0.174805,0.132751,0.965088,-1.906586,2.370148,3.686066
0.201681541,-0.397276151,-0.652863897,-0.056373309,-0.196866276,-0.755486126,-0.507491129,-0.052880393,0.700641317,-0.39724162,-0.410613955,0.653684206,0.186734762,-0.644688716,-0.574281356,0.254264411,-0.486106361,-1.000237311,-0.991748352,-0.381879235,839.3040293,843.7362637,841.7216117,841.7216117,891.6849817,-0.172607,0.135864,0.968628,-0.897217,2.115936,4.082336
0.26387875,-0.253284459,-0.498975566,-0.07266757,-0.038392295,-0.706772999,-0.507560937,0.005762952,0.70000707,-0.387801065,-0.33200173,0.687119694,0.121513131,-0.803530519,-0.572540578,0.272563389,-0.47842372,-1.076249087,-0.975938362,-0.274881317,834.4688645,845.3479853,840.1098901,832.0512821,800.2197802,-0.174561,0.139648,0.963745,-1.293488,2.452393,4.321594
0.33429796,-0.32504783,-0.473950463,0.01421555,0.123150507,-0.624219589,-0.512785308,0.093177523,0.690096774,-0.387801065,-0.321297328,0.681092067,0.126077475,-0.714737464,-0.540007952,0.302870903,-0.522596048,-1.058668658,-0.962012819,-0.284213635,836.8864469,842.1245421,842.1245421,836.0805861,852.1978022,-0.174988,0.137268,0.965027,-1.734619,3.282318,3.416901
0.341352596,-0.389378718,-0.527206324,0.100196246,0.155867553,-0.599138142,-0.685334584,0.078594191,0.569927932,-0.479248996,-0.340152491,0.675636157,0.112980847,-0.667321512,-0.616791292,0.257240014,-0.633579508,-1.095301817,-0.971534684,-0.240857546,834.8717949,842.5274725,844.9450549,838.0952381,804.2490842,-0.17688,0.13562,0.959351,-1.861725,2.355194,3.58139
0.28973114,-0.629865138,-0.791534814,0.165375132,0.122708826,-0.543746545,-0.967605553,0.074094546,0.578624002,-0.339688399,-0.567082418,0.665748618,0.104633804,-0.60820656,-0.710391542,0.235866533,-0.635986024,-1.08309636,-0.968058163,-0.230027241,840.1098901,843.3333333,843.3333333,840.5128205,854.6153846,-0.177979,0.138428,0.963684,-1.61499,2.781372,3.58139
0.355561552,-0.45169618,-0.86032013,0.112871111,-0.11239198,-0.615019405,-0.94203851,-0.082728669,0.291700833,-0.351398963,-0.62905345,0.310998946,0.055566924,-0.623227032,-0.770575769,0.114225821,-0.578684247,-1.03429868,-1.034357519,-0.166540695,845.3479853,842.1245421,846.1538462,842.5274725,859.047619,-0.174438,0.140259,0.968323,-1.480408,2.519684,3.095398
0.296995293,-0.388873002,-0.538714244,-0.093088573,-0.130703478,-0.623103886,-0.526434077,-0.081805993,0.58488747,-0.309074447,-0.548090621,0.485992174,0.028739114,-0.67985451,-0.729971447,0.057430761,-0.539086631,-1.00301537,-1.079449621,-0.192265534,832.0512821,838.9010989,845.3479853,839.3040293,836.0805861,-0.175476,0.136536,0.963501,-1.854248,2.370148,3.050537
0.273110635,-0.375184158,-0.364036476,-0.252160179,-0.114080478,-0.722068285,-0.484216975,-0.13915083,0.607389386,-0.46059193,-0.535818057,0.513156036,0.098130924,-0.656379211,-0.569396839,0.137874765,-0.472593092,-1.006805886,-1.150678845,-0.225311807,838.4981685,845.3479853,848.5714286,844.1391941,873.5531136,-0.178528,0.139221,0.962219,-1.734619,2.66922,3.880463
0.004853542,-0.560834044,-0.198797771,-0.185037128,-0.046065608,-0.538050819,-0.54019005,-0.127097086,0.608324427,-0.359616451,-0.461468951,0.518700619,0.04803261,-0.62592806,-0.476491103,0.183135819,-0.417597082,-1.046397011,-1.095894445,-0.232542176,840.1098901,845.7509158,848.5714286,830.03663,852.1978022,-0.180359,0.138306,0.960815,-2.048645,2.699127,3.850555
0.220370617,-0.754526836,-0.192227759,0.292152126,-0.014723067,-0.555647304,-0.872135428,-0.006926532,0.511429888,-0.273125899,-0.321057236,0.52177671,-0.016811086,-0.565958562,-0.359588501,0.251545695,-0.400270876,-1.10456492,-1.028702333,-0.220088422,843.3333333,844.5421245,841.7216117,836.8864469,847.3626374,-0.179932,0.136597,0.964172,-1.114044,2.960815,4.089813
0.309009982,-0.671111236,-0.132467896,0.389960771,0.086087975,-0.383512077,-0.744845732,-0.020832352,0.712949001,-0.115113072,-0.144454072,0.77903235,-0.067346675,-0.545130654,-0.323138493,0.212977853,-0.414704445,-1.146401702,-0.884379511,-0.152642827,841.3186813,842.5274725,846.1538462,840.9157509,870.7326007,-0.17688,0.140381,0.958923,-1.667328,2.557068,3.91037
0.310782393,-0.522713467,-0.205305039,0.476067841,0.10182233,-0.416849576,-0.538186261,-0.014471521,0.712949001,-0.172580081,-0.144454072,0.779808653,0.024133945,-0.594559321,-0.349621837,0.244806097,-0.420797174,-1.091499785,-0.783694363,-0.155765311,836.4835165,839.7069597,842.9304029,832.8571429,806.2637363,-0.185974,0.141846,0.962952,-2.056122,2.616882,3.551483
0.200631455,-0.347803677,-0.271159453,0.299494456,0.193727203,-0.358821429,-0.519360793,-0.161894949,0.759564964,-0.176053783,-0.144454072,0.767684651,0.108579733,-0.577115616,-0.483300872,0.238017282,-0.48639177,-1.133647737,-0.793958014,-0.159116863,839.7069597,844.9450549,843.7362637,839.3040293,818.7545788,-0.187195,0.139771,0.963135,-1.256104,1.958923,3.648682
0.187345326,-0.301715507,-0.44255075,0.174610446,0.18401381,-0.521525208,-0.478849625,-0.258625623,0.646566975,-0.446394434,-0.329361798,0.654766575,0.14872528,-0.584868081,-0.631503956,0.267933184,-0.516795077,-1.103481956,-0.889696791,-0.165778956,836.4835165,843.3333333,842.5274725,842.9304029,830.8424908,-0.179993,0.14325,0.96283,-1.375732,2.631836,3.469238
0.232261876,-0.304909771,-0.416848115,0.120460985,0.175639338,-0.450894071,-0.529698376,-0.238185199,0.60458229,-0.461250206,-0.504109601,0.612668013,0.132958537,-0.575334274,-0.687757487,0.270039831,-0.58492685,-1.20872238,-1.00753423,-0.148822203,842.1245421,844.1391941,845.3479853,844.5421245,841.3186813,-0.184753,0.142212,0.962402,-1.600037,2.781372,3.798218
0.164489679,-0.416848193,-0.460670125,0.153900858,0.00239668,-0.505056182,-0.441201086,-0.244002164,0.49863712,-0.540125831,-0.505658332,0.624718004,0.101742402,-0.552117757,-0.657702457,0.197848256,-0.634304905,-1.216867277,-0.997356068,-0.14802729,839.7069597,846.1538462,842.5274725,829.6336996,806.2637363,-0.185974,0.139221,0.969482,-1.218719,3.18512,3.74588
0.047316239,-0.656067011,-0.456942871,0.191736544,-0.140104714,-0.49933098,-0.545105811,-0.234346633,0.394029044,-0.603198811,-0.645430794,0.51836448,0.062611345,-0.563481461,-0.615545341,0.20121121,-0.630199166,-1.127010293,-0.899831382,-0.179660385,838.9010989,842.5274725,840.5128205,840.9157509,826.4102564,-0.184509,0.138672,0.961975,-1.540222,2.886047,3.865509
0.122940869,-0.795397521,-0.453204552,0.143399665,-0.115698753,-0.659671619,-0.557026506,-0.183332828,0.452848063,-0.598895472,-0.49511215,0.488833648,0.035154961,-0.539504712,-0.499102996,0.185573925,-0.537713326,-1.057513974,-0.752145149,-0.112515969,844.5421245,846.5567766,841.7216117,842.9304029,825.2014652,-0.184021,0.137512,0.960693,-1.846771,2.422485,4.411316
0.166661305,-0.502120994,-0.33640394,0.225017361,-0.051965789,-0.500407127,-0.495197669,-0.169561485,0.487761827,-0.521727867,-0.258321795,0.49191182,0.075949112,-0.548872302,-0.509840068,0.278713676,-0.399585865,-1.004270401,-0.761643842,-0.08511019,828.021978,842.1245421,843.3333333,835.2747253,867.1062271,-0.185913,0.140137,0.964783,-1.667328,2.415009,4.358978
0.407667255,-0.354893259,-0.181377601,0.284687186,0.072291874,-0.49107709,-0.472244423,-0.054589591,0.466193562,-0.528024143,-0.248956854,0.627371325,0.112240778,-0.5376469,-0.53883228,0.273084003,-0.403796912,-1.088913254,-0.820910176,-0.093356238,838.0952381,842.5274725,840.9157509,836.0805861,878.7912088,-0.188416,0.137573,0.960632,-1.659851,2.848663,3.529053
0.438651952,-0.326703093,-0.184814376,0.249551865,0.079955591,-0.520024645,-0.415024629,-0.06742793,0.456706399,-0.569880901,-0.241795938,0.642749862,0.247592987,-0.48814359,-0.594056399,0.359349763,-0.392159707,-1.05993765,-0.818810667,-0.1772789,824.3956044,840.5128205,844.5421245,835.2747253,856.6300366,-0.191406,0.136658,0.961609,-1.607513,3.050537,4.396362
0.540348644,-0.381151813,-0.268328368,0.101643061,0.083880611,-0.628351668,-0.551739478,-0.057516739,0.357022961,-0.623445286,-0.295437412,0.632640753,0.245399956,-0.496059447,-0.557178518,0.334753797,-0.488359765,-1.068093667,-0.771702398,-0.290987682,842.1245421,844.1391941,842.9304029,841.7216117,821.978022,-0.187561,0.137878,0.961609,-2.175751,2.616882,4.755249
0.433533303,-0.441655323,-0.572418094,-0.126525237,-0.10173257,-0.691959462,-0.599550924,-0.153959716,0.553301705,-0.423436234,-0.303769505,0.580334269,0.237313062,-0.492848291,-0.509757892,0.391274765,-0.454933053,-1.018166322,-0.784885871,-0.323260256,848.1684982,843.7362637,843.7362637,842.5274725,837.2893773,-0.19043,0.140137,0.963806,-1.443024,2.205658,3.985138
0.324358667,-0.355378567,-0.476526333,-0.200405981,-0.122147855,-0.507388375,-0.680001674,-0.173470234,0.597085125,-0.41972623,-0.407028418,0.601771789,0.142124781,-0.54983904,-0.488134972,0.423201436,-0.465255472,-1.035731314,-0.926902251,-0.328224421,837.2893773,848.1684982,848.5714286,843.7362637,828.4249084,-0.191284,0.138855,0.961914,-1.973877,2.527161,4.037476
0.196737609,-0.327273465,-0.548517261,-0.066147719,-0.073284964,-0.501723617,-0.614787207,-0.031137306,0.800241095,-0.383827069,-0.268817592,0.958833862,0.169715204,-0.572285748,-0.366177505,0.477930563,-0.477200904,-1.033676951,-0.992172716,-0.259368504,843.3333333,840.5128205,846.1538462,835.2747253,846.5567766,-0.193237,0.138367,0.964294,-1.607513,2.788849,3.72345
-0.016045562,-0.365123535,-0.546982152,0.11960334,0.105401573,-0.536974135,-0.580433107,-0.059681179,0.8063554,-0.416963542,-0.089858391,0.987927642,0.260369791,-0.456641641,-0.282069044,0.485042589,-0.437228222,-0.99586681,-1.001997821,-0.11954178,841.7216117,840.9157509,845.7509158,834.4688645,871.9413919,-0.186707,0.140259,0.964294,-1.390686,2.392578,3.252411
