Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
1.193304764,1.240814384,0.17765054,1.350938632,0.745840384,0.221392777,0.054517785,0.956047,0.786847014,0.630728299,-0.017005198,0.988644786,0.078223343,-0.146770262,-0.37982442,0.460706459,-0.225848916,-0.525451915,-0.556419441,0.1011839
