Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
1.588122485,0.110967631,0.525468044,0.783412718,0.799809113,-0.124227717,0.334174129,0.319178751,0.612123072,-0.037432109,-0.148681536,0.712943521,0.234433161,-0.267203799,-0.241086145,0.332416617,-0.006894184,-0.411410176,-0.72557259,-0.104157282
