Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
0.548430026,0.160600363,-0.014179925,0.28665172,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.085882833,0.093286456,1.110008821,0.395167997,-0.316181641,-0.230356408,0.815837559,0.191887234,-0.531967096,-0.58431028,0.385583831
0.548430026,0.160600363,-0.014179925,0.28665172,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.085882833,0.093286456,1.110008821,0.395167997,-0.316181641,-0.230356408,0.815837559,0.191887234,-0.531967096,-0.58431028,0.385583831
0.548430026,0.160600363,-0.014179925,0.28665172,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.085882833,0.093286456,1.110008821,0.395167997,-0.316181641,-0.230356408,0.815837559,0.191887234,-0.531967096,-0.58431028,0.385583831
0.548430026,0.160600363,-0.014179925,0.28665172,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.085882833,0.093286456,1.110008821,0.395167997,-0.316181641,-0.230356408,0.815837559,0.191887234,-0.531967096,-0.58431028,0.385583831
0.548430026,0.160600363,-0.014179925,0.28665172,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.085882833,0.093286456,1.110008821,0.395167997,-0.316181641,-0.230356408,0.815837559,0.191887234,-0.531967096,-0.58431028,0.385583831
0.548430026,0.160600363,-0.014179925,0.28665172,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.085882833,0.093286456,1.110008821,0.395167997,-0.316181641,-0.230356408,0.815837559,0.191887234,-0.531967096,-0.58431028,0.385583831
0.548430026,0.160600363,-0.014179925,0.28665172,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.085882833,0.093286456,1.110008821,0.395167997,-0.316181641,-0.230356408,0.815837559,0.191887234,-0.531967096,-0.58431028,0.385583831
0.548430026,0.160600363,-0.014179925,0.28665172,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.085882833,0.093286456,1.110008821,0.395167997,-0.316181641,-0.230356408,0.815837559,0.191887234,-0.531967096,-0.58431028,0.385583831
0.548430026,0.160600363,-0.014179925,0.28665172,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.085882833,0.093286456,1.110008821,0.395167997,-0.316181641,-0.230356408,0.815837559,0.191887234,-0.531967096,-0.58431028,0.385583831
0.548430026,0.160600363,-0.014179925,0.28665172,0.41722381,-0.134259365,-0.034276931,0.402744902,1.115675133,-0.085882833,0.093286456,1.110008821,0.395167997,-0.316181641,-0.230356408,0.815837559,0.191887234,-0.531967096,-0.58431028,0.385583831
